"CP"|"CODE"
"01400"|"01001"
"01640"|"01002"
"01500"|"01004"
"01330"|"01005"
"01300"|"01006"
"01500"|"01007"
"01500"|"01008"
"01300"|"01009"
"01350"|"01010"
"01100"|"01011"
"01110"|"01012"
"01230"|"01013"
"01100"|"01014"
"01300"|"01015"
"01190"|"01016"
"01230"|"01017"
"01510"|"01019"
"01480"|"01021"
"01510"|"01022"
"01570"|"01023"
"01340"|"01024"
"01380"|"01025"
"01380"|"01026"
"01360"|"01027"
"01990"|"01028"
"01270"|"01029"
"01480"|"01030"
"01100"|"01031"
"01360"|"01032"
"01200"|"01033"
"01300"|"01034"
"01130"|"01035"
"01260"|"01036"
"01470"|"01037"
"01370"|"01038"
"01350"|"01039"
"01340"|"01040"
"01500"|"01041"
"01290"|"01042"
"01700"|"01043"
"01200"|"01044"
"01330"|"01045"
"01290"|"01046"
"01150"|"01047"
"01120"|"01049"
"01190"|"01050"
"01450"|"01051"
"01330"|"01052"
"01000"|"01053"
"01800"|"01054"
"01640"|"01056"
"01190"|"01057"
"01300"|"01058"
"01260"|"01059"
"01110"|"01060"
"01300"|"01061"
"01360"|"01062"
"01460"|"01063"
"01470"|"01064"
"01310"|"01065"
"01510"|"01066"
"01430"|"01067"
"01450"|"01068"
"01240"|"01069"
"01170"|"01071"
"01250"|"01072"
"01350"|"01073"
"01320"|"01074"
"01480"|"01075"
"01230"|"01076"
"01450"|"01077"
"01630"|"01078"
"01260"|"01079"
"01110"|"01080"
"01410"|"01081"
"01420"|"01082"
"01990"|"01083"
"01400"|"01084"
"01240"|"01085"
"01130"|"01087"
"01800"|"01088"
"01500"|"01089"
"01320"|"01090"
"01200"|"01091"
"01320"|"01092"
"01400"|"01093"
"01190"|"01094"
"01250"|"01095"
"01660"|"01096"
"01510"|"01097"
"01300"|"01098"
"01150"|"01099"
"01510"|"01100"
"01430"|"01101"
"01190"|"01102"
"01170"|"01103"
"01410"|"01104"
"01390"|"01105"
"01250"|"01106"
"01230"|"01107"
"01270"|"01108"
"01550"|"01109"
"01300"|"01110"
"01230"|"01111"
"01430"|"01112"
"01400"|"01113"
"01200"|"01114"
"01310"|"01115"
"01300"|"01116"
"01300"|"01117"
"01420"|"01118"
"01110"|"01119"
"01110"|"01121"
"01110"|"01122"
"01290"|"01123"
"01560"|"01124"
"01250"|"01125"
"01370"|"01127"
"01560"|"01128"
"01320"|"01129"
"01340"|"01130"
"01350"|"01133"
"01290"|"01134"
"01170"|"01135"
"01290"|"01136"
"01350"|"01138"
"01560"|"01139"
"01310"|"01140"
"01300"|"01141"
"01120"|"01142"
"01220"|"01143"
"01380"|"01144"
"01240"|"01145"
"01400"|"01146"
"01270"|"01147"
"01590"|"01148"
"01500"|"01149"
"01250"|"01150"
"01160"|"01151"
"01130"|"01152"
"01170"|"01153"
"01340"|"01154"
"01230"|"01155"
"01800"|"01156"
"01480"|"01157"
"01550"|"01158"
"01570"|"01159"
"01210"|"01160"
"01350"|"01162"
"01340"|"01163"
"01090"|"01165"
"01480"|"01166"
"01140"|"01167"
"01090"|"01169"
"01460"|"01170"
"01100"|"01171"
"01250"|"01172"
"01170"|"01173"
"01130"|"01174"
"01190"|"01175"
"01260"|"01176"
"01250"|"01177"
"01290"|"01179"
"01220"|"01180"
"01100"|"01181"
"01680"|"01182"
"01090"|"01183"
"01250"|"01184"
"01110"|"01185"
"01110"|"01186"
"01260"|"01187"
"01140"|"01188"
"01200"|"01189"
"01680"|"01190"
"01430"|"01191"
"01580"|"01192"
"01300"|"01193"
"01480"|"01194"
"01250"|"01195"
"01340"|"01196"
"01250"|"01197"
"01800"|"01198"
"01640"|"01199"
"01450"|"01200"
"01150"|"01202"
"01290"|"01203"
"01130"|"01204"
"01200"|"01205"
"01430"|"01206"
"01330"|"01207"
"01350"|"01208"
"01200"|"01209"
"01410"|"01210"
"01240"|"01211"
"01560"|"01212"
"01150"|"01213"
"01450"|"01214"
"01420"|"01215"
"01680"|"01216"
"01260"|"01218"
"01680"|"01219"
"01260"|"01221"
"01360"|"01224"
"01090"|"01225"
"01300"|"01227"
"01430"|"01228"
"01340"|"01229"
"01560"|"01230"
"01570"|"01231"
"01851"|"01232"
"01680"|"01233"
"01300"|"01234"
"01240"|"01235"
"01340"|"01236"
"01100"|"01237"
"01600"|"01238"
"01300"|"01239"
"01580"|"01240"
"01370"|"01241"
"01450"|"01242"
"01480"|"01243"
"01800"|"01244"
"01250"|"01245"
"01660"|"01246"
"01410"|"01247"
"01390"|"01248"
"01700"|"01249"
"01600"|"01250"
"01140"|"01252"
"01250"|"01254"
"01470"|"01255"
"01200"|"01257"
"01090"|"01258"
"01310"|"01259"
"01800"|"01260"
"01390"|"01261"
"01120"|"01262"
"01090"|"01263"
"01310"|"01264"
"01460"|"01265"
"01340"|"01266"
"01460"|"01267"
"01300"|"01268"
"01130"|"01269"
"01300"|"01271"
"01400"|"01272"
"01160"|"01273"
"01130"|"01274"
"01700"|"01275"
"01120"|"01276"
"01230"|"01277"
"01230"|"01279"
"01510"|"01280"
"01210"|"01281"
"01430"|"01282"
"01100"|"01283"
"01190"|"01284"
"01600"|"01285"
"01300"|"01286"
"01630"|"01288"
"01960"|"01289"
"01800"|"01290"
